frame,label,id,transform,bbox,image_path,detection_score,raw_pose_score,render_score
1,-1,-1,0.914291182326 -0.306878750022 0.264380533902 3.06730457782 -0.404599505857 -0.722931728457 0.560061564339 -1.31910035576 0.0192580835442 -0.61902758321 -0.785133095369 1.4283472139 0.0 0.0 0.0 1.0,,images/rgb_000001.png,,,
1,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,,,
1,4,4,0.512182155745 0.854406422295 -0.0875163120678 0.0701811321301 0.365327736728 -0.308944181495 -0.878116813128 -0.105455228119 -0.777306300061 0.417783626129 -0.470374061386 0.813693578259 0.0 0.0 0.0 1.0,347 113 56 81,,0.99855405,0.2245513,1.0
1,2,2,-0.0754133401205 0.106930953364 -0.991402339792 0.0986651312464 0.611129487112 0.790579902818 0.0387835950212 -0.0505738756022 0.787929932236 -0.602950402996 -0.124968929789 0.869949598553 0.0 0.0 0.0 1.0,329 123 119 134,,0.7107176,0.09899708,1.0
2,-1,-1,0.914291182326 -0.306878750022 0.264380533902 3.06730457782 -0.404599505857 -0.722931728457 0.560061564339 -1.31910035576 0.0192580835442 -0.61902758321 -0.785133095369 1.4283472139 0.0 0.0 0.0 1.0,,images/rgb_000002.png,,,
2,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,,,
2,4,4,0.512613863192 0.854456012908 -0.0844508689607 0.0700678670169 0.368684761664 -0.307872935912 -0.877089392166 -0.104954578598 -0.775434441961 0.418472433188 -0.472844846522 0.813222897593 0.0 0.0 0.0 1.0,348 113 55 81,,0.9980596,0.23047678,1.0
2,2,2,-0.102849017353 0.303141353236 -0.947379226914 0.0991247882407 0.429733633529 0.87250159264 0.232529514373 -0.0537817048088 0.897079195971 -0.383205285453 -0.220005966641 0.868814819881 0.0 0.0 0.0 1.0,329 123 120 134,,0.78644294,0.098652914,1.0
3,-1,-1,0.914291182326 -0.306878750022 0.264380533902 3.06730457782 -0.404599505857 -0.722931728457 0.560061564339 -1.31910035575 0.0192580835442 -0.61902758321 -0.785133095369 1.4283472139 0.0 0.0 0.0 1.0,,images/rgb_000003.png,,,
3,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,,,
3,4,4,0.435215053468 0.89770354486 -0.0686746152541 0.0702591368636 0.396573794897 -0.259623159667 -0.880525434139 -0.106799768081 -0.808280324167 0.355983371114 -0.468997608794 0.814450894455 0.0 0.0 0.0 1.0,346 113 57 81,,0.99820054,0.22247085,1.0
3,2,2,0.0748456908411 0.561502473912 0.824083184122 0.0926826883698 0.660506890111 -0.647039324274 0.380881557652 -0.049119908598 0.747080163489 0.515805277826 -0.41930435806 0.876917113673 0.0 0.0 0.0 1.0,330 124 117 131,,0.82038885,0.060923476,1.0
4,-1,-1,0.914291182326 -0.306878750022 0.264380533902 3.06730457782 -0.404599505857 -0.722931728457 0.560061564339 -1.31910035576 0.0192580835442 -0.61902758321 -0.785133095369 1.4283472139 0.0 0.0 0.0 1.0,,images/rgb_000004.png,,,
4,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,,,
4,4,4,0.400116382868 0.915896479961 -0.032257063638 0.0713793520465 0.336312659124 -0.179480454543 -0.924489351886 -0.106776262107 -0.852526055598 0.359054876629 -0.379840650925 0.814026977712 0.0 0.0 0.0 1.0,346 114 57 81,,0.9990114,0.21315557,1.0
4,2,2,-0.0387239408285 0.963392251226 0.265284426012 0.0953332598473 0.649789569308 -0.177409359674 0.739120717284 -0.0472854315746 0.759127111903 0.201000719843 -0.619132246452 0.880563873126 0.0 0.0 0.0 1.0,329 124 118 133,,0.8055922,0.09938915,1.0
5,-1,-1,0.914291182326 -0.306878750022 0.264380533902 3.06730457782 -0.404599505857 -0.722931728457 0.560061564339 -1.31910035576 0.0192580835442 -0.61902758321 -0.785133095369 1.4283472139 0.0 0.0 0.0 1.0,,images/rgb_000005.png,,,
5,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,,,
5,4,4,0.420396445521 0.885889344443 -0.196129798845 0.0715092906985 0.212319177545 -0.30620531471 -0.927986461157 -0.10535937781 -0.882149304506 0.348480092179 -0.316818922911 0.815332817118 0.0 0.0 0.0 1.0,346 113 57 82,,0.99790907,0.21082672,1.0
5,2,2,-0.115312429547 -0.0106819009902 -0.993271836197 0.0943053856538 0.601494060716 0.795022991511 -0.0783794481456 -0.051567119024 0.790511188102 -0.606485234742 -0.0852509326943 0.867995553345 0.0 0.0 0.0 1.0,329 123 119 134,,0.80104345,0.10106472,1.0
6,-1,-1,0.914291182326 -0.306878750022 0.264380533902 3.06730457782 -0.404599505857 -0.722931728457 0.560061564339 -1.31910035576 0.0192580835442 -0.61902758321 -0.785133095369 1.4283472139 0.0 0.0 0.0 1.0,,images/rgb_000006.png,,,
6,0,0,0.999633 -0.0190627 0.0192393 0.0418849 -0.00311418 -0.786549 -0.617521 0.0379663 0.0269043 0.617234 -0.786319 0.849153 0 0 3.95253e-323 1,,,,,
6,4,4,0.464792917447 0.878341508165 -0.111730653471 0.0693649981404 0.226681199668 -0.240026983807 -0.943929383355 -0.105671851144 -0.855910729929 0.413404453385 -0.310666348859 0.815471150365 0.0 0.0 0.0 1.0,347 113 56 81,,0.99867094,0.21315557,1.0
6,2,2,-0.00617016870128 0.93121269022 -0.364424003863 0.0995682720517 0.562820755823 0.304462238494 0.768463103959 -0.0487987459553 0.82655594235 -0.200363846302 -0.525984413516 0.878862606918 0.0 0.0 0.0 1.0,329 123 119 135,,0.8207355,0.09270858,1.0
7,-1,-1,0.914291182326 -0.306878750022 0.264380533902 3.06730457782 -0.404599505857 -0.722931728457 0.560061564339 -1.31910035576 0.0192580835442 -0.61902758321 -0.785133095369 1.4283472139 0.0 0.0 0.0 1.0,,images/rgb_000007.png,,,
